water_year,cumulative_change_in_storage_acre-feet,cumulative_change_in_storage_cubic_kilometers
1961,-242288.357595,-0.298857843326
1962,24447.7943086,0.0301558653238
1963,-46631.0379666,-0.0575184527111
1964,-6288314.26305,-7.75650987719
1965,-6765739.44856,-8.34540429501
1966,-11791764.7453,-14.544905978
1967,-7986014.93015,-9.85058969604
1968,-14646879.2466,-18.0666326131
1969,-6012772.97428,-7.41663520831
1970,-5742943.10592,-7.08380546229
1971,-9128551.38924,-11.2598855676
1972,-17215699.9438,-21.2352215667
1973,-12411068.2794,-15.3088045013
1974,-11571724.3592,-14.2734905625
1975,-13281843.173,-16.382887917
1976,-21367724.4251,-26.3566607239
1977,-33206148.8252,-40.959120453
1978,-25834403.7929,-31.8662203905
1979,-27374449.502,-33.7658359717
1980,-24879938.5967,-30.6889066603
1981,-29359088.8773,-36.2138489483
1982,-24679138.6009,-30.4412238815
1983,-14571756.5162,-17.9739702276
1984,-17232524.9596,-21.2559748872
1985,-22456591.9615,-27.6997570526
1986,-20114034.5254,-24.8102593063
1987,-27227380.5124,-33.5844293145
1988,-33381920.1297,-41.1759308416
1989,-39081537.8471,-48.2062953036
1990,-48139541.9075,-59.3791621521
1991,-53352914.4041,-65.8097528592
1992,-60117145.3739,-74.1532964757
1993,-56072023.4855,-69.1637195289
1994,-62687578.1831,-77.3238739373
1995,-52385908.4388,-64.6169703411
1996,-52295073.4584,-64.5049272094
1997,-51093582.1404,-63.0229116985
1998,-38608303.1015,-47.6225697096
1999,-42785187.8051,-52.7746734538
2000,-44916665.5602,-55.4038086353
2001,-50755991.6779,-62.6065006149
2002,-55434225.948,-68.3770090223
2003,-57680844.8973,-71.1481685639
2004,-57539374.4991,-70.9736676572
2005,-57231965.6475,-70.5944849869
2006,-51770852.3701,-63.8583109814
2007,-62535068.3731,-77.1357561369
2008,-67733221.8722,-83.5475745149
2009,-77613739.4356,-95.734995319
2010,-77802366.6331,-95.9676631946
2011,-67494957.7815,-83.2536805243
2012,-74966525.7754,-92.4697102134
2013,-78972157.5089,-97.4105768441
