aquifer,total_sites,avg_decrease
Texas coastal uplands aquifer system,4,43.98739495225
Hawaiian Volcanic-rock aquifers,2,39.719333335
Roswell Basin aquifer system,10,15.0809999747
California Coastal Basin aquifers,954,14.5242399938145
Columbia Plateau basaltic-rock aquifers,103,10.8680268952621
Edwards-Trinity aquifer system,87,9.70463006735632
Arbuckle-Simpson aquifer,4,9.0797916675
Columbia Plateau basin-fill aquifers,282,8.61266535176241
High Plains aquifer,9074,8.45371893561044
Blaine aquifer,14,7.26885714285714
Snake River Plain basaltic-rock aquifers,382,6.6403560633534
Pacific Northwest basaltic-rock aquifers,186,6.19158228422043
Colorado Plateaus aquifers,310,5.78705022010967
Mississippi River Valley alluvial aquifer,1038,5.35272542104624
Pacific Northwest basin-fill aquifers,207,5.20892385260386
Castle Hayne aquifer,35,5.05358979562857
Central Valley aquifer system,183,4.28033747872677
Rio Grande aquifer system,894,4.02904990563647
Northern Rocky Mountains Intermontane Basins aquifer system,358,3.5922117682514
Basin and Range basin-fill aquifers,3655,2.78115844376334
Northern Atlantic Coastal Plain aquifer system,1495,2.59940066470368
Ozark Plateaus aquifer system,7,2.04857142857143
Pecos River Basin alluvial aquifer,3,2.04333333333333
Snake River Plain basin-fill aquifers,230,1.91676470582174
Southeastern Coastal Plain aquifer system,75,1.49630721970667
Floridan aquifer system,102,1.43970002134314
Rush Springs aquifer,21,1.16090476190476
Upper carbonate aquifer,12,1.1231896645
Lower Cretaceous aquifers,239,0.84266859677406
Central Oklahoma aquifer,10,0.804
Silurian-Devonian aquifers,423,0.783202405198582
Ordovician aquifers,12,0.336486464916667
New York sandstone aquifers,8,0.2329117965
Seymour aquifer,1,0.15452381
Marshall aquifer,17,0.008235294117647
Cambrian-Ordovician aquifer system,186,-0.0830781171774193
Ada-Vamoosa aquifer,3,-0.125238095333333
Willamette Lowland basin-fill aquifers,167,-0.472723891568862
Southern Nevada volcanic-rock aquifers,87,-0.623112054034482
Denver Basin aquifer system,175,-0.697472164485714
New York and New England carbonate-rock aquifers,67,-0.813418830447761
Lower Tertiary aquifers,152,-0.841182963578289
Piedmont and Blue Ridge crystalline-rock aquifers,581,-0.982667322423408
Valley and Ridge carbonate-rock aquifers,118,-1.01754848841525
Piedmont and Blue Ridge carbonate-rock aquifers,32,-1.09950089059375
Upper Cretaceous aquifers,25,-1.23133952408
Basin and Range carbonate-rock aquifers,27,-1.38102439744444
Mississippian aquifers,131,-1.48013824629008
Puget Sound aquifer system,399,-2.32336321957143
Mississippi embayment aquifer system,574,-2.80496305790244
Upper Tertiary aquifers,1,-2.805
Valley and Ridge aquifers,62,-3.07732118998387
Early Mesozoic basin aquifers,158,-3.1582641994557
Paleozoic aquifers,37,-4.62968042581081
Pennsylvanian aquifers,117,-4.86455724602564
Surficial aquifer system,234,-4.96238383542778
Coastal lowlands aquifer system,1049,-11.9753752255634
